"課金計上年月","ジャーナル連番","利用者番号","支払責任者番号","プロジェクトコード","ホストID","クラスID","キュー名","投入日時","開始日時","終了日時","経過時間","使用ノード数","ユーザCPU時間","最大メモリサイズ","ベクトル時間","ベクトル演算率","ノード時間（使用量）","要求VEノード総数","確保VEノード総数","VEのCPU消費時間"
"202404","28225","a1","z111","pj1","FR","SESSION","","20240402184052","","","","","","","","","0","","",""
"202404","30649","a2","z111","pj1","LX","LX","lx_hour","20240411222602","20240411222624","20240411222624","0","1","1","17","0","0.0","0","0","0","0"
"202404","30651","a2","z111","pj1","LX","LX","lx_hour","20240411223153","20240411223209","20240411223215","5","1","23","504","0","0.0","5","0","0","0"
"202404","30653","a2","z111","pj1","LX","LX","lx_hour","20240411223620","20240411224439","20240411224439","0","1","1","17","0","0.0","0","0","0","0"
"202404","30654","a2","z111","pj1","LX","LX","lx_hour","20240411230800","20240411230824","20240411230824","0","1","1","17","0","0.0","0","0","0","0"
"202404","30655","a2","z111","pj1","LX","LX","lx_hour","20240411230858","20240411230924","20240411230924","0","1","1","17","0","0.0","0","0","0","0"
"202404","30657","a2","z111","pj1","LX","LX","lx_hour","20240411231125","20240411231154","20240411231154","0","1","1","35","0","0.0","0","0","0","0"
"202404","30658","a2","z111","pj1","LX","LX","lx_hour","20240411231928","20240411231954","20240411231954","0","1","2","47","0","0.0","0","0","0","0"
"202404","30662","a2","z111","pj1","LX","LX","lx_hour","20240411235149","20240411235209","20240411235215","6","1","15","390","0","0.0","6","0","0","0"
"202404","30678","a3","z111","pj2","FR","SESSION","","20240411142615","","","","","","","","","0","","",""
"202404","30679","a2","z111","pj1","FR","SESSION","","20240411210750","","","","","","","","","0","","",""
"202404","30703","a2","z111","pj1","LX","AP","","","20240412033001","20240413015953","59","1","","0","","","1","","",""
"202404","30704","a2","z111","pj1","LX","AP","","","20240412033001","20240413015953","29","1","","0","","","75","","",""
"202404","30950","a2","z111","pj1","LX","LX","lx_hour","20240412230857","20240412230924","20240412230924","0","1","1","17","0","0.0","0","0","0","0"
"202404","30955","a2","z111","pj1","LX","LX","lx_hour","20240412234248","20240412234309","20240412234311","2","1","1","51","0","0.0","2","0","0","0"
"202404","30956","a2","z111","pj1","LX","LX","lx_hour","20240412234531","20240412234554","20240412234555","1","1","1","51","0","0.0","1","0","0","0"
"202404","30958","a2","z111","pj1","LX","LX","lx_hour","20240412235012","20240412235039","20240412235040","1","1","1","51","0","0.0","1","0","0","0"
"202404","30959","a2","z111","pj1","LX","LX","lx_hour","20240412235248","20240412235309","20240412235310","1","1","1","52","0","0.0","1","0","0","0"
"202404","30960","a2","z111","pj1","LX","LX","lx_hour","20240412235451","20240412235509","20240412235511","1","1","1","51","0","0.0","1","0","0","0"
"202404","30961","a2","z111","pj1","LX","LX","lx_hour","20240412235628","20240412235654","20240412235654","0","1","1","50","0","0.0","0","0","0","0"
"202404","30963","a2","z111","pj1","LX","LX","lx_hour","20240412235707","20240412235724","20240412235724","0","1","1","22","0","0.0","0","0","0","0"
"202404","30985","a3","z111","pj2","FR","SESSION","","20240412133511","","","","","","","","","0","","",""
"202404","30986","a2","z111","pj1","FR","SESSION","","20240412230544","","","","","","","","","0","","",""
"202404","30987","a4","z111","pj1","FR","SESSION","","20240412162014","","","","","","","","","0","","",""
"202404","31005","a2","z111","pj1","LX","AP","","","20240413033002","20240414022923","395","1","","0","","","1","","",""
"202404","31006","a2","z111","pj1","LX","AP","","","20240413033002","20240414022923","197","1","","0","","","1689","","",""
"202404","31017","a2","z111","pj1","LX","LX","lx_hour","20240412235845","20240412235909","20240412235940","31","1","92","1649","0","0.0","31","0","0","0"
"202404","31345","a2","z111","pj1","FR","SESSION","","20240413000000","","","","","","","","","0","","",""
"202404","31356","a3","z111","pj2","FR","AP","","","20240414033001","20240415033001","3","1","","0","","","0","","",""
"202404","31357","a2","z111","pj1","FR","AP","","","20240414033001","20240415033001","2","1","","0","","","0","","",""
"202404","31359","a2","z111","pj1","LX","LX","lx_hour","20240414001247","20240414001309","20240414001638","209","1","1708","922","0","0.0","209","0","0","0"
"202404","31361","a2","z111","pj1","LX","LX","lx_hour","20240414002140","20240414002209","20240414002211","2","1","19","51","0","0.0","2","0","0","0"
"202404","31362","a2","z111","pj1","LX","LX","lx_hour","20240414002328","20240414002354","20240414002356","2","1","2","220","0","0.0","2","0","0","0"
"202404","31363","a2","z111","pj1","LX","LX","lx_hour","20240414002853","20240414002909","20240414002920","11","1","27","359","0","0.0","11","0","0","0"
"202404","31459","a2","z111","pj1","LX","LX","lx_hour","20240414170639","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","31463","a2","z111","pj1","LX","LX","lx_hour","20240414171218","20240414172924","20240414172925","1","1","1","22","0","0.0","1","0","0","0"
"202404","31466","a2","z111","pj1","LX","LX","lx_hour","20240414175828","20240414175854","20240414175854","0","1","1","20","0","0.0","0","0","0","0"
"202404","31467","a2","z111","pj1","LX","LX","lx_hour","20240414180129","20240414180154","20240414180155","0","1","1","21","0","0.0","0","0","0","0"
"202404","31468","a2","z111","pj1","LX","LX","lx_hour","20240414180309","20240414180339","20240414180339","0","1","1","22","0","0.0","0","0","0","0"
"202404","31469","a2","z111","pj1","LX","LX","lx_hour","20240414180625","20240414180654","20240414180654","0","1","1","21","0","0.0","0","0","0","0"
"202404","31470","a2","z111","pj1","LX","LX","lx_hour","20240414180848","20240414180909","20240414180909","0","1","1","21","0","0.0","0","0","0","0"
"202404","31471","a2","z111","pj1","LX","LX","lx_hour","20240414180955","20240414181024","20240414181025","1","1","1","22","0","0.0","1","0","0","0"
"202404","31473","a2","z111","pj1","LX","LX","lx_hour","20240414182607","20240414182624","20240414182625","0","1","1","22","0","0.0","0","0","0","0"
"202404","31520","a3","z111","pj2","FR","SESSION","","20240414163315","","","","","","","","","0","","",""
"202404","31521","a2","z111","pj1","FR","SESSION","","20240414001229","","","","","","","","","0","","",""
"202404","32641","a2","z111","pj1","LX","AP","","","20240417033003","20240418033002","4854","1","","0","","","0","","",""
"202404","32642","a2","z111","pj1","LX","AP","","","20240417033003","20240418033002","4853","1","","0","","","18898","","",""
"202404","32647","a2","z111","pj1","LX","AP","","","20240417033001","20240418033002","4032","1","","0","","","1","","",""
"202404","32648","a2","z111","pj1","LX","AP","","","20240417033001","20240418033002","2031","1","","0","","","17794","","",""
"202404","32652","a2","z111","pj1","LX","AP","","","20240417033003","20240418033002","77","1","","0","","","1","","",""
"202404","32653","a2","z111","pj1","LX","AP","","","20240417033003","20240418033002","38","1","","0","","","307","","",""
"202404","32805","a2","z111","pj1","LX","LX","lx_hour","20240417135704","20240417135724","20240417135724","0","1","1","21","0","0.0","0","0","0","0"
"202404","32808","a2","z111","pj1","LX","LX","lx_hour","20240417140600","20240417140624","20240417140704","38","1","307","819","0","0.0","38","0","0","0"
"202404","32830","a2","z111","pj1","LX","LX","lx_hour","20240417143957","20240417144024","20240417144025","1","1","1","20","0","0.0","1","0","0","0"
"202404","32835","a2","z111","pj1","LX","LX","lx_hour","20240417144308","20240417144324","20240417144324","0","1","1","21","0","0.0","0","0","0","0"
"202404","32841","a2","z111","pj1","LX","LX","lx_hour","20240417145104","20240417145124","20240417145159","35","1","304","709","0","0.0","35","0","0","0"
"202404","32846","a2","z111","pj1","LX","LX","lx_hour","20240417145238","20240417145254","20240417145331","37","1","305","768","0","0.0","37","0","0","0"
"202404","32914","a2","z111","pj1","LX","LX","lx_day","20240417153937","20240417163754","20240417163759","4","1","1","22","0","0.0","4","0","0","0"
"202404","32923","a2","z111","pj1","LX","LX","lx_day","20240417165127","20240417165154","20240417165155","1","1","1","23","0","0.0","1","0","0","0"
"202404","32925","a2","z111","pj1","LX","LX","lx_day","20240417165532","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","32926","a2","z111","pj1","LX","LX","lx_day","20240417165513","20240417165539","20240417165540","0","1","1","22","0","0.0","0","0","0","0"
"202404","32928","a2","z111","pj1","LX","LX","lx_day","20240417165831","20240417165854","20240417165855","0","1","1","21","0","0.0","0","0","0","0"
"202404","32935","a2","z111","pj1","LX","LX","lx_day","20240417170302","20240417170324","20240417171104","460","1","18953","7372","0","0.0","460","0","0","0"
"202404","32960","a2","z111","pj1","LX","LX","lx_day","20240417180129","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","32962","a2","z111","pj1","LX","LX","lx_hour","20240417181542","20240417181609","20240417181824","135","1","13039","48264","0","0.0","135","0","0","0"
"202404","32964","a2","z111","pj1","LX","LX","lx_hour","20240417181950","20240417182009","20240417182455","285","1","27133","9142","0","0.0","285","0","0","0"
"202404","32967","a2","z111","pj1","LX","LX","lx_hour","20240417183313","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","32981","a2","z111","pj1","LX","LX","lx_hour","20240417184524","20240417192154","20240417192507","192","1","17491","7854","0","0.0","192","0","0","0"
"202404","32985","a2","z111","pj1","LX","LX","lx_hour","20240417193653","20240417194324","20240417194813","289","1","27287","9625","0","0.0","289","0","0","0"
"202404","33007","a2","z111","pj1","LX","LX","lx_hour","20240417211444","20240417211509","20240417211512","1","1","1","42","0","0.0","1","0","0","0"
